Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^XHB-EU,SPDR S&P Homebuilders ETF (Esti,https://finance.yahoo.com/chart/%5EXHB-EU,"1,111.67",+600.86,+117.63%
^XES-TC,SPDR S&P Oil and Gas Equipmen,https://finance.yahoo.com/chart/%5EXES-TC,7.24,+52.89,+115.86%
^GVUS-TC,GOLDMAN SACHS MARKETBETA RUSSE,https://finance.yahoo.com/chart/%5EGVUS-TC,9.67,+71.38,+115.67%
^SQY-EU,YIELDMAX SQ OPTION INCOME STRAT,https://finance.yahoo.com/chart/%5ESQY-EU,"10,194.84","+83,841.84",+113.84%
^EUSC-TC,WisdomTree Trust WisdomTree Eur,https://finance.yahoo.com/chart/%5EEUSC-TC,"5,598.18","+2,979.02",+113.74%
^PLTY-EU,YIELDMAX PLTR OPTION INCOME STR,https://finance.yahoo.com/chart/%5EPLTY-EU,"426,791.78","+223,463.77",+109.90%
^SPYT-TC,TIDAL TRUST II ETF TOTAL CASH,https://finance.yahoo.com/chart/%5ESPYT-TC,39.92,+469.59,+109.29%
^EGGS-EU,NESTYIELD TOTAL RETURN GUARD ET,https://finance.yahoo.com/chart/%5EEGGS-EU,"29,727.69","+354,109.19",+109.16%
^CGGE-EU,CAPITAL GROUP GLOBAL EQUITY ETF,https://finance.yahoo.com/chart/%5ECGGE-EU,"61,480.81","+31,381.81",+104.26%
^BUZZ-EU,VANECK SOCIAL SENTIMENT ETF EST,https://finance.yahoo.com/chart/%5EBUZZ-EU,65.74,"+2,044.06",+103.32%
^IGSB-EU,iShares Short-Term Corporate Bo,https://finance.yahoo.com/chart/%5EIGSB-EU,3.98,+138.22,+102.96%
^AVIV-EU,AVANTIS INTERNATIONAL LARGE CAP,https://finance.yahoo.com/chart/%5EAVIV-EU,"357,250.12","+351,842.00",+100.63%
^BILZ-EU,-,https://finance.yahoo.com/chart/%5EBILZ-EU,"207,431.92","+206,147.80",+100.62%
^OCEN-EU,NYLI CLEAN OCEANS ETF ESTIMATED,https://finance.yahoo.com/chart/%5EOCEN-EU,0.19,+30.98,+100.62%
^GSLC-TC,Goldman Sachs ActiveBeta U.S. L,https://finance.yahoo.com/chart/%5EGSLC-TC,0.99,+198.16,+100.50%
^ASHS-EU,Xtrackers Harvest CSI 500 China,https://finance.yahoo.com/chart/%5EASHS-EU,0.16,+0.08,+100.00%
^INDL-EU,Direxion Daily MSCI India Bull,https://finance.yahoo.com/chart/%5EINDL-EU,20.93,+10.43,+99.33%
^SPD-EU,SIMPLIFY US EQUITY PLUS DOWNSID,https://finance.yahoo.com/chart/%5ESPD-EU,"2,657.72","+1,322.17",+99.00%
^DFEN-TC,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EDFEN-TC,"28,852.69","+14,228.57",+97.30%
^CSPSADRTU,S&P China A-Share Dividend Oppo,https://finance.yahoo.com/chart/%5ECSPSADRTU,"25,950.34","+12,766.60",+96.84%
^HAUZ-TC,Xtrackers International Real Es,https://finance.yahoo.com/chart/%5EHAUZ-TC,73.63,+36.13,+96.35%
^QVMM-TC,INVESCO S&P MIDCAP 400 QVM MULT,https://finance.yahoo.com/chart/%5EQVMM-TC,147.92,+72.58,+96.34%
^DXJ-EU,WisdomTree Japan Dividend (esti,https://finance.yahoo.com/chart/%5EDXJ-EU,"-2,534.59","+41,222.99",+94.21%
^GSLC-EU,Goldman Sachs ActiveBeta U.S. L,https://finance.yahoo.com/chart/%5EGSLC-EU,2.27,+1.10,+94.02%
^XSD-TC,SPDR S&P Semiconductor ETF (Tot,https://finance.yahoo.com/chart/%5EXSD-TC,-21.37,+301.29,+93.38%
^DWMF-TC,WisdomTree International Multif,https://finance.yahoo.com/chart/%5EDWMF-TC,"12,746.03","+6,118.93",+92.33%
^EMHC-TC,SPDR BLOOMBERG EMERGING MARKETS,https://finance.yahoo.com/chart/%5EEMHC-TC,"54,090.36","+25,690.18",+90.46%
^PILL-EU,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EPILL-EU,-26.44,+232.00,+89.77%
^DUSL-EU,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EDUSL-EU,976.69,+460.13,+89.08%
^RND-EU,FIRST TRUST BLOOMBERG R&D LEADE,https://finance.yahoo.com/chart/%5ERND-EU,"8,525.82","+3,912.07",+84.79%
^DFNM-TC,DIMENSIONAL NATIONAL MUNICIPAL,https://finance.yahoo.com/chart/%5EDFNM-TC,"19,574.52","+8,966.94",+84.53%
^NDVG-EU,NUVEEN DIVIDEND GROWTH ETF ESTI,https://finance.yahoo.com/chart/%5ENDVG-EU,850.18,+385.60,+83.00%
^DUSL-TC,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EDUSL-TC,"69,580.89","+31,538.86",+82.91%
^XLK-TC,Technology Select Sector SPDR F,https://finance.yahoo.com/chart/%5EXLK-TC,"2,443.24","+1,106.28",+82.75%
^BKSE-TC,BNY Mellon US Small Cap Core Eq,https://finance.yahoo.com/chart/%5EBKSE-TC,-112.17,+526.40,+82.43%
^DUHP-TC,DIMENSIONAL US HIGH PROFITABILI,https://finance.yahoo.com/chart/%5EDUHP-TC,"6,045.01","+2,700.89",+80.77%
^SGLC-EU,SGI U.S. LARGE CAP CORE ETF EST,https://finance.yahoo.com/chart/%5ESGLC-EU,392.46,+174.68,+80.21%
^PIZ-EU,Invesco DWA Developed Markets M,https://finance.yahoo.com/chart/%5EPIZ-EU,-290.20,"+1,098.52",+79.10%
^BKCNT,S&P China ADR Index (USD) NTR,https://finance.yahoo.com/chart/%5EBKCNT,884.98,+380.39,+75.39%
^COPX-EU,Global X Copper Miners (Estimat,https://finance.yahoo.com/chart/%5ECOPX-EU,-58.81,+178.56,+75.22%
^DFAE-TC,DIMENSIONAL EMERGING CORE EQUIT,https://finance.yahoo.com/chart/%5EDFAE-TC,-863.51,"+2,376.17",+73.35%
^EIRL-EU,iShares MSCI Irel and ETF Esti,https://finance.yahoo.com/chart/%5EEIRL-EU,"9,136.68","+3,839.51",+72.48%
^RWK-TC,Invesco S&P MidCap 400 Revenue,https://finance.yahoo.com/chart/%5ERWK-TC,204.29,+85.46,+71.92%
^VNSE-TC,NATIXIS VAUGHAN NELSON SELECT E,https://finance.yahoo.com/chart/%5EVNSE-TC,"221,936.17","+92,660.30",+71.68%
